epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1028.41,0.88539,3.18139,1.09474,0.17694,0.42034,0.2113,0.16848,0.81948,2.8004,0.97614,0.000175135,0.000175135,0.000175135
2,3462.59,0.81695,2.42229,1.03788,0.27065,0.50174,0.2908,0.2363,0.78765,2.34972,0.94751,0.000343529,0.000343529,0.000343529
3,8192.98,0.80151,2.15388,1.02891,0.29358,0.50005,0.37564,0.30486,0.79417,2.11361,0.95374,0.00050498,0.00050498,0.00050498
4,9183.69,0.77808,1.95743,1.02082,0.3841,0.59935,0.46227,0.37942,0.77874,1.85782,0.93918,0.000494756,0.000494756,0.000494756
5,10167.8,0.75529,1.75544,1.00932,0.48749,0.57205,0.54806,0.44532,0.81437,1.58162,0.96566,0.000484341,0.000484341,0.000484341
6,11147.5,0.74217,1.60118,0.98983,0.53411,0.64161,0.59836,0.50007,0.7527,1.63304,0.92862,0.000473926,0.000473926,0.000473926
7,12113.8,0.73215,1.44612,0.99538,0.71437,0.69547,0.73035,0.6122,0.74499,1.25642,0.93388,0.000463511,0.000463511,0.000463511
8,13053,0.71848,1.36817,0.98801,0.694,0.6649,0.73688,0.6181,0.7253,1.11329,0.92258,0.000453096,0.000453096,0.000453096
9,13995.5,0.70265,1.29725,0.9799,0.75167,0.72024,0.7782,0.64941,0.73431,1.02491,0.91528,0.000442682,0.000442682,0.000442682
10,14937.9,0.68638,1.25508,0.9729,0.72235,0.72257,0.76364,0.64883,0.71088,0.98596,0.90775,0.000432267,0.000432267,0.000432267
11,15881.4,0.6887,1.18368,0.97341,0.75422,0.73041,0.80199,0.67875,0.70653,0.89181,0.90728,0.000421852,0.000421852,0.000421852
12,16821.1,0.67912,1.15669,0.96584,0.80894,0.75238,0.8182,0.6891,0.69292,0.85915,0.90312,0.000411437,0.000411437,0.000411437
13,17766.8,0.66188,1.08136,0.96175,0.86701,0.73654,0.83101,0.70551,0.712,0.85306,0.90789,0.000401022,0.000401022,0.000401022
14,18710.8,0.66622,1.04928,0.96081,0.89813,0.76662,0.86347,0.72786,0.70676,0.72058,0.90178,0.000390608,0.000390608,0.000390608
15,19650.5,0.65851,1.00917,0.95643,0.90653,0.77494,0.86056,0.7308,0.69394,0.6988,0.89629,0.000380193,0.000380193,0.000380193
16,20595.8,0.64332,0.98114,0.95441,0.88171,0.79661,0.87633,0.74451,0.691,0.67805,0.89624,0.000369778,0.000369778,0.000369778
17,21545.5,0.63755,0.95017,0.95092,0.89743,0.79309,0.86841,0.73397,0.67649,0.65558,0.89132,0.000359363,0.000359363,0.000359363
18,22482.6,0.64727,0.93723,0.95829,0.90285,0.78306,0.87399,0.73593,0.68242,0.6744,0.89213,0.000348948,0.000348948,0.000348948
19,23706.5,0.64168,0.94836,0.95233,0.86204,0.82,0.87745,0.74793,0.66228,0.63515,0.88751,0.000338534,0.000338534,0.000338534
20,25237.8,0.62687,0.9055,0.94612,0.91051,0.79777,0.88094,0.74442,0.67851,0.62801,0.88904,0.000328119,0.000328119,0.000328119
